index,start_time,eeg_delta_power,eeg_theta_power,eeg_alpha_power,eeg_beta_power,eeg_spindle_power,eog_var,emg_rms,label
1,17:36:30,2.94524849227461e-10,1.3739498101711518e-11,2.110694285561559e-12,6.181952665051469e-13,9.090140205484864e-13,5.925620919218718e-09,3.0731345329351203e-06,0
2,17:37:00,2.939901760777551e-10,2.024229425062321e-11,2.741378984842281e-12,8.443820503706498e-13,1.3795796978179921e-12,9.294943280118444e-09,3.9686218676666905e-06,0
3,17:37:30,2.856970943260537e-10,1.8291109379144576e-11,2.8979019566755458e-12,8.589175016514803e-13,1.0774758101412805e-12,8.249239204025005e-09,3.8003367936495496e-06,0
4,17:38:00,2.996453865335148e-10,3.629278441255374e-11,3.783255309831988e-12,8.720489888032174e-13,1.2654043883627372e-12,3.583957333713542e-09,4.0134640273200775e-06,0
5,17:38:30,5.4065347418197026e-11,7.0044154816563195e-12,1.8019305121935006e-12,7.427289329720215e-13,8.278796474979933e-13,1.1819549819909082e-09,3.81096942869397e-06,0
6,17:39:00,2.2552111119780798e-10,2.915232196188323e-11,4.55825508779077e-12,1.5945633809734658e-12,2.1705408338937315e-12,1.5021202498669618e-08,3.990602649390429e-06,0
7,17:39:30,1.8342524080893634e-10,2.2212981549679048e-11,3.1877315049425312e-12,1.4771074582369116e-12,1.8274140676385886e-12,1.4375149542250198e-08,4.361156922979946e-06,0
8,17:40:00,2.555893427041446e-10,4.5581359929974465e-11,3.885897828459634e-12,1.3246837523665501e-12,2.432777949086235e-12,1.5407893903846703e-08,4.11366648546344e-06,0
9,17:40:30,1.1039270632727788e-10,1.0103990779265415e-11,1.2730998559802176e-12,9.59989035591402e-13,1.408546062854878e-12,8.693207817260181e-09,4.228943076153789e-06,0
10,17:41:00,2.9187138573842916e-10,2.992201984452707e-11,4.5471500575018586e-12,1.7785306429394715e-12,2.7664881754911587e-12,2.1114010853536016e-08,3.955428231495712e-06,0
11,17:41:30,2.776165149268656e-10,1.5356213093958522e-11,4.1037138931161245e-12,1.2208820238521784e-12,1.9316440557651673e-12,1.0330170186571254e-08,4.136559857421294e-06,0
12,17:42:00,2.2792563022280594e-10,2.2272456263638627e-11,3.9706425784997305e-12,1.3486964895578364e-12,2.3604537123052424e-12,1.8853098373877436e-08,3.82384512356437e-06,0
13,17:42:30,1.6790214284389596e-10,9.493739294149513e-12,1.8996406180892337e-12,8.086998389199863e-13,1.1262484401609325e-12,1.0675751699696983e-08,3.1512997607785827e-06,0
14,17:43:00,3.012865620419558e-10,2.585269246013067e-11,4.0516473981283586e-12,1.2082148070017702e-12,2.5089853500229453e-12,1.8443750895799105e-08,3.574251437001314e-06,0
15,17:43:30,3.688776771818168e-10,2.2826990760605473e-11,3.5804786761911822e-12,1.0494315656024705e-12,1.660540388104527e-12,1.3628790474521049e-08,3.924205936556573e-06,0
16,17:44:00,1.7616904893348652e-10,1.3035079306328023e-11,2.9075717543488682e-12,1.254395160319807e-12,1.7144889522968777e-12,1.2294754792058396e-08,3.8080368724181596e-06,0
17,17:44:30,6.592670705659378e-11,9.459286203871755e-12,1.8399450660448417e-12,1.063875308640813e-12,1.2622879139171852e-12,8.988648728638411e-09,4.146859092125693e-06,0
18,17:45:00,1.798419682531783e-10,1.7366616070198093e-11,4.954139493034934e-12,2.5181618538384255e-12,2.2614939544474744e-12,1.6021533826500266e-08,4.329499358215495e-06,0
19,17:45:30,1.6738577857973683e-10,1.9215306152178315e-11,3.4149490780368894e-12,1.0169295202924028e-12,1.603414783189796e-12,1.1321379330034072e-08,3.968130354401572e-06,0
20,17:46:00,1.429728347735497e-10,1.342623567041238e-11,2.5418864594720203e-12,1.598669772440161e-12,1.872663344243534e-12,1.257515048696077e-08,4.21109302495263e-06,0
21,17:46:30,4.102128063110696e-10,4.566356020138862e-11,5.1992328362596975e-12,1.4406784946084245e-12,2.1543289724518475e-12,7.870128299110748e-09,4.338088609948714e-06,0
22,17:47:00,2.2202787801972723e-10,1.7715792803444683e-11,3.830608397639054e-12,2.6387889697265294e-12,3.092544111666859e-12,8.509862718219641e-09,4.235737049567501e-06,0
23,17:47:30,2.1289293504869537e-10,1.841159712980659e-11,3.931177218862722e-12,1.743695077930809e-12,2.891769094681579e-12,1.4046258567352442e-08,4.2071616788307075e-06,0
24,17:48:00,2.329592017620294e-10,4.0113618932571965e-11,5.5167663880998445e-12,2.432520882549765e-12,3.397239251591629e-12,1.2275336858588957e-08,4.2795707675148605e-06,0
25,17:48:30,2.13361749892225e-10,2.1462243594045352e-11,3.2613248992412315e-12,1.3548635901511201e-12,2.4581927020643924e-12,8.88180625648885e-09,4.051315503993307e-06,0
26,17:49:00,1.566292543557815e-10,1.5217249814291696e-11,1.907246639671281e-12,1.3313056439864077e-12,1.769988719907678e-12,1.4135431774434962e-08,3.958693452283961e-06,0
27,17:49:30,1.442313230357107e-10,1.3929152814665917e-11,2.6666804639380765e-12,1.1865516250704248e-12,1.4291705117300085e-12,1.2557595461540017e-08,3.486561015740513e-06,0
28,17:50:00,2.180264237466445e-10,1.618880690566118e-11,4.146929420411255e-12,1.4552110358451781e-12,1.5914546123040748e-12,1.1654338897734721e-08,3.919178609850209e-06,0
29,17:50:30,1.8966511657541284e-10,1.725392421130054e-11,4.603401622367549e-12,2.25015621664913e-12,1.9678069151955232e-12,9.54833164184805e-09,4.329044076339059e-06,0
