index,start_time,eeg_delta_power,eeg_theta_power,eeg_alpha_power,eeg_beta_power,eeg_spindle_power,eog_var,emg_rms,label
1,23:43:30,3.700955475764607e-10,3.893754392710377e-11,9.561479030113116e-12,2.4423007425976365e-12,4.351679714682254e-12,4.3672951754727013e-08,6.104740841793197,0
2,23:44:00,7.598024243314641e-10,4.248773423440211e-11,5.438475293600082e-12,3.4225629767401057e-12,4.08175682898128e-12,5.533145215843944e-08,0.9999313347248627,0
3,23:44:30,7.339452622778786e-10,4.7440794092868504e-11,9.034910395244391e-12,2.8519066393899314e-12,4.630491438430895e-12,1.1815193266109192e-07,1.0000108902582816,0
4,23:45:00,6.325766802828245e-10,3.2710653017409623e-11,6.33217301037001e-12,2.136120438347937e-12,2.5367495340700013e-12,4.0364045562524144e-08,1.000005791228027,0
5,23:45:30,8.768724285172406e-10,2.2207536990263483e-11,6.205840025316412e-12,2.112454214990295e-12,2.1255797420449957e-12,5.596385684125541e-08,1.000003489063926,0
6,23:46:00,8.051540207553462e-10,2.179484445545647e-11,5.720068475799711e-12,2.1292965083047195e-12,3.4595549222340693e-12,2.150245510207984e-08,1.0000022997384646,0
7,23:46:30,4.750381800542389e-10,8.00668181308471e-12,5.585478513024448e-12,2.9921461656000845e-12,3.973283890477842e-12,1.7972938478257945e-08,1.0000016136837349,0
8,23:47:00,5.989318103026414e-11,3.0682102899085877e-12,6.551132888547337e-12,1.9527642694992836e-12,2.1753846388398147e-12,3.4412484444073506e-09,1.0000011851568134,0
9,23:47:30,9.524173938252162e-11,4.0301122961669975e-12,9.036442493014051e-12,2.3486987177201756e-12,2.319877721423e-12,2.6614039037589522e-09,1.000000901164549,0
10,23:48:00,8.894125043267766e-11,4.698825620460322e-12,7.433968775298748e-12,2.7201222251256236e-12,2.5884454042589935e-12,2.655346777632321e-09,1.0000007041780772,0
11,23:48:30,1.0774305286434187e-10,8.329617426667166e-12,6.494254998841794e-12,2.059785708234501e-12,1.801433094517834e-12,1.1924200513192322e-08,1.0000005625097155,0
12,23:49:00,1.7648630894140574e-10,5.606510214093963e-12,7.581352260192401e-12,2.1731257995389826e-12,2.7484220206548777e-12,2.4620097042321355e-08,1.0000004575866084,0
13,23:49:30,6.290164181949609e-11,8.51718175691988e-12,4.275053141278474e-12,1.859924863548667e-12,1.9407447643203814e-12,2.6835563243392094e-08,1.000000377962248,0
14,23:50:00,7.048026452749369e-11,1.1328134244326916e-11,3.5380717331256127e-12,1.7068562344886315e-12,1.652840550382937e-12,2.2649584215216263e-08,1.0000003162840374,0
15,23:50:30,1.5974678442308137e-10,7.625103133596462e-12,3.563123411279247e-12,1.6416858564423315e-12,2.3351391922396787e-12,2.036958471658233e-08,1.0000002676622777,0
16,23:51:00,6.03464528099156e-11,2.699373652072306e-12,3.6756508227255616e-12,2.3255777652344836e-12,1.1633347856209397e-12,5.405330244869491e-09,1.0000002287477912,0
17,23:51:30,2.7925491545095505e-11,3.570785179464564e-12,4.2682469761176935e-12,2.7328211175024982e-12,2.4881912955482897e-12,3.76616853162749e-09,1.0000001971874903,0
18,23:52:00,3.1389435062840625e-11,2.5677838983084177e-12,4.344948357587868e-12,1.7015986865171182e-12,1.934021706691556e-12,6.120425912707602e-09,1.0000001712912043,0
19,23:52:30,2.62199324515366e-11,2.2853677459001083e-12,4.264040833909451e-12,2.1512932487649318e-12,1.9425620925778874e-12,6.811445493230509e-10,1.0000001498210678,0
20,23:53:00,1.5196287879375844e-11,2.6926344833087802e-12,5.116318366565918e-12,2.156824686564942e-12,2.255165814374959e-12,1.1908165018272225e-09,1.000000131854803,0
21,23:53:30,1.467016924524585e-11,2.0253055941303775e-12,5.418718600280053e-12,2.1362920232672545e-12,1.7839002517614248e-12,1.9543465587261683e-09,1.0000001166946142,0
22,23:54:00,9.330371641604207e-12,2.3588054798579824e-12,3.4242307123422244e-12,1.884537010903123e-12,2.5574080235167846e-12,1.7697852579114805e-09,1.0000001038052657,0
23,23:54:30,1.6425190406201907e-11,2.8057606346910286e-12,5.2073557840733685e-12,1.7382143060040917e-12,1.352734146604068e-12,1.3698172316000901e-09,1.000000092771052,0
24,23:55:00,1.366966697162213e-11,1.8049508685075163e-12,4.550338029748597e-12,1.9291031993986596e-12,1.7291372462221246e-12,1.3274994608716458e-09,1.0000000832654818,0
25,23:55:30,2.3408106393758953e-11,2.579559163635223e-12,6.174307096274079e-12,2.410257203605719e-12,2.5719262903595256e-12,2.2314611035957235e-09,1.0000000750294635,0
26,23:56:00,5.1694088065399445e-11,3.2949309889655768e-12,4.582808554762609e-12,1.5130217402962567e-12,1.748352468029537e-12,2.509164059492712e-08,1.0000000678554704,0
27,23:56:30,1.878324674768643e-11,2.447664522622267e-12,5.255139914676304e-12,2.7026852051989543e-12,2.734635768007006e-12,5.129181587163606e-09,1.0000000615758167,0
28,23:57:00,1.8981808748765043e-11,2.227457487274196e-12,4.632880483641374e-12,2.3700871873933584e-12,2.159180949344082e-12,1.6208285888819835e-09,1.0000000560539524,0
29,23:57:30,1.3504210648996153e-11,2.5136823521679693e-12,3.508353896583976e-12,1.8114123641302021e-12,1.3952944019441296e-12,4.476946277747612e-09,1.0000000511778366,0
30,23:58:00,2.0494912847936697e-11,2.177711909035802e-12,3.0736738694594017e-12,1.9248935965872575e-12,1.6787003723638044e-12,1.5018446440527276e-09,1.0000000468549284,0
31,23:58:30,1.6121307841893458e-11,2.301475498198888e-12,4.3014408375800895e-12,2.0722169646691068e-12,2.1937173286471287e-12,3.0589856893125236e-09,1.0000000430082958,0
32,23:59:00,1.6082363463144882e-11,2.179617083383484e-12,3.452908965092007e-12,1.915138907096383e-12,2.925352621943308e-12,1.5501759422536933e-09,1.0000000395736104,0
33,23:59:30,3.170104766432169e-11,2.4173562918179955e-12,3.6847592495455496e-12,1.6532846613035189e-12,1.5303873453885331e-12,8.79974532356492e-10,1.0000000364967683,0
34,00:00:00,2.033107305035897e-11,2.331254457858958e-12,5.604858464746506e-12,1.905901897369947e-12,1.9893504690239243e-12,6.154154092830268e-09,1.0000000337320556,0
