index,start_time,eeg_delta_power,eeg_theta_power,eeg_alpha_power,eeg_beta_power,eeg_spindle_power,eog_var,emg_rms,label
1,01:19:00,6.478899215786349e-12,2.0488704159365685e-12,7.676263586372371e-13,2.162457697552759e-13,3.4694577458193193e-13,3.7774419355368995e-10,2.901260816368941e-06,1
2,01:19:30,7.658300029114376e-12,1.7795760844447356e-12,1.8855589017890694e-12,2.506232048286634e-13,4.0011232312501337e-13,7.163274443316323e-10,2.8909201097351028e-06,1
3,01:20:00,8.883444199747875e-12,2.338460981584214e-12,1.2426472225808244e-12,2.347583376319282e-13,4.1400665911650915e-13,6.551570350977227e-10,2.7609621615853347e-06,1
4,01:20:30,2.8075456246964888e-11,1.0719078046821218e-11,7.430226988749442e-13,1.4996660497564072e-13,3.2868601747103005e-13,9.018215044310563e-10,2.640709671319218e-06,1
5,01:21:00,4.559748456590836e-11,1.0711889807285784e-11,9.094119825968351e-13,2.9655300898023507e-13,6.296779770057052e-13,2.788719067224142e-10,2.9376780374260462e-06,1
6,01:21:30,2.7826611493621198e-11,6.260329037525779e-12,1.0816013226356514e-12,2.820293318267828e-13,1.0480667881990158e-12,6.759073602192591e-10,2.9321687770693214e-06,1
7,01:22:00,2.7866386452978202e-11,3.299307042488432e-12,8.26025724085902e-13,2.4550151007268386e-13,5.461314631320199e-13,3.27406064670727e-10,2.8378377591616368e-06,1
8,01:22:30,4.2933831878414036e-11,4.802553140634188e-12,9.581743783434396e-13,1.1916353580378393e-13,3.0086183856639166e-13,2.543281445871056e-10,2.5814841533669294e-06,1
9,01:23:00,1.8788924786723066e-11,4.2832860592297505e-12,1.2053508482482589e-12,2.814902301064435e-13,6.021307103890749e-13,4.775593967563237e-10,2.741725633286112e-06,1
10,01:23:30,8.877700133944008e-11,1.5969230799398277e-11,1.606190239776787e-12,2.857295977325471e-13,8.292501846741838e-13,4.775854248024142e-10,2.7516979501604207e-06,1
11,01:24:00,2.8377030805208677e-11,8.303440131930154e-12,1.0801807549237498e-12,2.336556461652635e-13,7.279930034922953e-13,1.5953675199648832e-10,2.775720908883998e-06,1
12,01:24:30,4.027473650569645e-11,8.857153748937532e-12,1.072404177029458e-12,2.4325317422952873e-13,7.272898016134884e-13,1.0772123761229079e-10,2.3989130224039246e-06,2
13,01:25:00,2.7520738512685725e-11,8.194334254201757e-12,1.1103150294496142e-12,2.362975526702278e-13,7.155837454223299e-13,1.147564015668587e-10,2.4432126852438272e-06,2
14,01:25:30,1.7564401744921058e-11,2.3958889886422197e-12,7.506895584351631e-13,1.69715826928075e-13,4.853528241851746e-13,1.2330457573311383e-10,2.8222801746270347e-06,2
15,01:26:00,5.254759948320326e-11,1.152421565947305e-11,1.4841170823932782e-12,4.572223099350459e-13,1.3257039814006484e-12,2.2720155337920434e-10,2.6479461130554624e-06,2
16,01:26:30,3.442080887196137e-11,6.358122950067367e-12,9.19333370934138e-13,1.803431978620775e-13,4.873423917083595e-13,1.4213617775582987e-10,2.809737150956185e-06,2
17,01:27:00,3.65558553817938e-11,6.5106803540249386e-12,1.0985701077885362e-12,2.7763669324833907e-13,1.016580257120697e-12,1.3906792154052122e-10,2.5335619150293596e-06,2
18,01:27:30,4.192476078027755e-11,9.143449773068828e-12,1.1808467469223474e-12,2.934643861659273e-13,1.179350309474553e-12,1.3641796404477363e-10,2.2037354992296513e-06,2
19,01:28:00,2.7980723005442978e-11,5.131809041943728e-12,8.723330129705572e-13,2.1086896230651955e-13,4.3406476670886656e-13,1.3052023434864194e-10,2.7502332559967638e-06,2
20,01:28:30,4.563882528265304e-11,5.6419693259643145e-12,1.2743985887721738e-12,2.3802964042136114e-13,7.220413300261589e-13,1.2927325170282577e-10,2.811433915724426e-06,2
21,01:29:00,6.698676258570533e-11,5.056590182129607e-12,9.061366787906754e-13,1.7560218885024137e-13,5.241460952470276e-13,2.2278825136438954e-10,2.46817360201357e-06,2
22,01:29:30,5.197565385448931e-11,9.111213883701268e-12,1.3897052183904903e-12,2.9621850681497427e-13,9.763005426991312e-13,1.2777691610776403e-10,2.4147930379801393e-06,2
23,01:30:00,5.6351182083895244e-11,9.850164339529318e-12,1.1383354769862145e-12,2.445488291860839e-13,8.189293455075051e-13,1.764144131948422e-10,2.4661978398158444e-06,2
24,01:30:30,5.393322778310331e-11,6.905511519975844e-12,1.7758571847670904e-12,2.9528406654562825e-13,1.0827504638220209e-12,3.8870165717838127e-10,2.7324027672147553e-06,2
25,01:31:00,2.9918026778343846e-11,8.951827690210265e-12,1.9620743655019576e-12,2.7289281591442226e-13,9.536714968384882e-13,5.957142552195336e-10,2.0741530750623206e-06,2
26,01:31:30,2.1564437237405754e-11,3.1807176939706374e-12,1.8110137879604144e-12,1.8441090700346573e-13,3.978873653238107e-13,9.139044360814264e-10,2.5191141017041207e-06,2
