index,start_time,eeg_delta_power,eeg_theta_power,eeg_alpha_power,eeg_beta_power,eeg_spindle_power,eog_var,emg_rms,used,label
1,07:09:00,2.3199560076616947e-10,4.152042491873504e-12,2.5944178454542343e-12,7.108415428635809e-13,9.535766146727598e-13,1.280090077846919e-10,3.509548690131563e-06,0,1
2,07:09:30,2.788986309901397e-10,4.8303796602918245e-12,2.8889234437340703e-12,1.2120484442835832e-12,1.707691096307632e-12,1.1877520931545341e-10,3.52944719429866e-06,0,1
3,07:10:00,3.4802442676035467e-10,5.170380667604959e-12,2.331415361186694e-12,6.746008031010992e-13,8.654165276094355e-13,1.3251011723859226e-10,3.5002197630594657e-06,0,1
4,07:10:30,3.3965818721866847e-10,4.151303947644909e-12,2.2963709812197354e-12,5.892034726374155e-13,8.074852805858868e-13,8.301347249629695e-11,3.5446819463652034e-06,0,1
5,07:11:00,3.52019435666655e-10,7.679789001293359e-12,3.0842758263365335e-12,7.394874870745662e-13,1.1725421597935472e-12,8.848384394684693e-11,3.5189303961872456e-06,0,2
6,07:11:30,3.937411392629379e-10,8.067058468168495e-12,3.476477618193368e-12,9.007891247964772e-13,1.4278722448718933e-12,9.965209343642067e-11,3.5160645870052076e-06,0,2
7,07:12:00,4.2387502883753075e-10,4.981178180731513e-12,2.602350861575732e-12,8.626570226987769e-13,1.3522943435755422e-12,1.0742651225755103e-10,3.5257637521617558e-06,0,2
8,07:12:30,4.0098402343926594e-10,3.5806871045828404e-12,1.6773343950937177e-12,4.764254291432815e-13,7.417108401724943e-13,8.568192017899476e-11,3.493683023598345e-06,0,2
9,07:13:00,4.492440808052839e-10,7.210211664615888e-12,2.287984563238336e-12,8.878865312670308e-13,1.2363101162782287e-12,1.0721328322197094e-10,3.5190551286508836e-06,0,2
10,07:13:30,3.3922020249589244e-10,5.39352130218436e-12,2.128637463562457e-12,5.824289015383097e-13,9.939398991171166e-13,6.679878870012187e-11,3.5137907282797906e-06,0,2
11,07:14:00,2.6790405876970793e-10,7.076473165301084e-12,2.671248169431414e-12,8.047539292425996e-13,1.6242938641252683e-12,7.929312396193957e-11,3.5114844050373447e-06,0,2
12,07:14:30,2.3230197060296137e-10,4.745879220070217e-12,1.9762275860411383e-12,5.744015048317971e-13,7.100488914965306e-13,7.851909219181276e-11,3.499243899584094e-06,0,2
13,07:15:00,2.6350705223138556e-10,5.117669262289852e-12,2.2070671848575455e-12,4.911985645528931e-13,8.838470236829756e-13,8.4973746815572e-11,3.5427130258649364e-06,0,2
14,07:15:30,1.7251910559777568e-10,5.368126986666874e-12,3.3867459322589343e-12,7.4570872306731e-13,1.421305806706194e-12,8.190433688684457e-11,3.5297465507571665e-06,0,2
15,07:16:00,2.8176081380424743e-10,5.414996542426708e-12,3.663138216904327e-12,1.0670414982125902e-12,1.122379742738317e-12,7.354066482700965e-11,3.509033844354174e-06,0,2
16,07:16:30,2.8034099604075583e-10,4.5182699073478064e-12,2.201294060037029e-12,5.63423458013461e-13,1.0511622737087717e-12,3.329651337326937e-10,3.5286998192615753e-06,0,2
17,07:17:00,1.3091481364102007e-10,4.14610265715431e-12,1.886801450934544e-12,6.292916558158539e-13,1.065441229917188e-12,3.852001517345111e-10,3.545693308813042e-06,0,4
18,07:17:30,1.566823430525481e-10,5.296983186017709e-12,8.65624422036479e-12,1.452698348666144e-12,2.276705831477815e-12,9.357703540966745e-10,3.5169516011525113e-06,0,4
19,07:18:00,3.372376916428419e-10,3.5273523168632215e-12,4.584188281413301e-12,1.3721826360448314e-12,1.4174553262221123e-12,9.035463605313629e-11,3.509993114040899e-06,0,4
20,07:18:30,1.8811866862452875e-10,7.148241026162746e-12,7.44360930277443e-12,7.880731952310614e-13,8.508160897517831e-13,8.599720801654048e-11,3.4505379082524917e-06,0,1
21,07:19:00,1.9629457311163552e-10,4.1366834128608115e-12,2.8066046910458535e-12,9.512561773009173e-13,1.0819056606002066e-12,1.4707218957351653e-10,3.422607266063886e-06,0,1
22,07:19:30,1.9905853809708356e-10,5.5791577323962315e-12,3.979669713797639e-12,1.2914123685106687e-12,1.5743254554246622e-12,1.5269168252131158e-10,3.4441631369975635e-06,0,1
23,07:20:00,9.692888511477713e-11,4.04542662335265e-12,3.3451828556232244e-12,1.026780933220814e-12,1.1553224949516634e-12,1.1469683153995843e-10,3.4813656862554716e-06,0,1
24,07:20:30,1.1780198331248594e-10,4.69500475356039e-12,3.717082038104123e-12,1.185153212716176e-12,1.663368548437592e-12,1.1151040705439476e-10,3.498539001572451e-06,0,2
25,07:21:00,1.8209196908436948e-10,6.719122279142074e-12,4.150697610103866e-12,1.0134373468015879e-12,1.173311658289904e-12,6.517722498838023e-11,3.4949730535455426e-06,0,2
26,07:21:30,1.3550657327763122e-10,6.134049500777524e-12,4.50990656832018e-12,9.397950476478474e-13,1.9093643316071026e-12,1.0267469481292789e-10,3.525169375412821e-06,0,2
27,07:22:00,2.905671887795419e-10,1.3775191624453321e-11,3.754381462532204e-12,9.39310991996739e-13,1.246577448227314e-12,1.7845296212975042e-10,3.3742635129562983e-06,0,1
28,07:22:30,1.0910014526958244e-10,5.2894495840061575e-12,3.3487385939347286e-12,1.1299546777242668e-12,1.582138892325349e-12,6.61492710174702e-11,3.4842255874024976e-06,0,2
29,07:23:00,1.6221976375019058e-10,3.801648660209827e-12,1.901333165694308e-12,9.322911705418652e-13,1.5100514559872662e-12,1.0723720022230029e-10,3.477434091677631e-06,0,2
30,07:23:30,4.692976037149688e-10,1.2097226990987412e-11,6.837199346334047e-12,3.670837913211892e-12,3.445729633342462e-12,2.954840519896573e-09,3.1760893908849476e-06,0,1
